альтернативный альтернативные
атлас атлас
бакина бакин
берег берегам
болото болот
бурый бурого
ванилиновый ванилиновая
верхний верхней верхняя
верхушка верхушке
ветвиться ветвящийся
водоём водоемов
встречаемость встречаемость
встречаться встречается
выемчатый выемчатые
высота высота
высушить высушенное
вяжущий вяжущим
галловый галловая
гемикриптофит гемикриптофит
гидроксибензойный гидроксибензойная
гликозид гликозиды
гравилат гравилат гравилата
действие действие действием действия
длинный длинных
доля долей доли
европейский европейской
жаропонижающий жаропонижающее
железистый железистый
жизненный жизненная
жилка жилками
завязь завязь
зимнезелёный зимнезеленый
изд изд
информация информации
источник источник
июнь июнь
казан казан
казань казань
карта карта
кверцетина кверцетина
кемпферол кемпферол
кислота кислота кислоты
кмк кмк
комрак комраков
корень корни
корневище корневищ корневища корневище
короткокорневищный короткокорневищный
кофеиновый кофеиновая
красноватый красновато
красный красного красный
кровоостанавливающий кровоостанавливающее кровоостанавливающим
крючок крючком
крёмово кремово
кумаровый кумаровая
кустарник кустарникам
легенда легенда
лепесток лепестки
леса лесам
летний летне
лист листья
литература литература
луг лугам
маевский маевский
май май
многолетник многолетник
многорешка многорешек
морфологический морфологическая
название названия
наличие наличие
научий науч
небольшой небольшими
непарноперистый непарноперистые
ноготок ноготок
обладать обладают
обнаружить обнаружено
общеукрепляющий общеукрепляющее
ограничение ограничений
окраина окраинам
олеаноловый олеаноловая
орган органы
организм организм
осень осенью
очередной очередные
пестик пестики
плод плод
подземный подземные
поздний поздней
ползучий ползучее
полоса полосы
поникать поникающие
потогонное потогонное
почковидный почковидной
предыдущий предыдущее
препарат препараты
прикорневой прикорневые
прилистник прилистниками
применение применение
применяться применяется
противовоспалительный противовоспалительное противовоспалительным
противомалярийный противомалярийное
протокатеховой протокатеховая
прямостоячий прямостоячие прямостоячий
пыление пыления
ранозаживляющий ранозаживляющее ранозаживляющим
распространение распространения
растение растение растений растения
редко редко
речной речного речной
рогов рогова
розовый розовые
россия россии
салициловый салициловая
сбор сбора
семейство семейство
сидячий сидячие
синаповый синаповая
сиреневый сиреневая
ситниковый ситников
следующий следующее
смотреть см
собранный собранное
содержать содержит
состав состав
сосудистый сосудистые
спорадически спорадически
спороношение спороношения
средний средней
стебель стебель стебля
стеблевой стеблевые
сузить суженные
сухой сухой
сырой сырым
татарстан татарстана
темно темно
тип тип
тов тов
толстый толстое
травянистый травянистый
трехраздельный трехраздельные
тритерпен тритерпены
тычинка тычинки
уна ун
урсоловый урсоловая
фенольный фенольные
феруловый феруловая
фиолетовый фиолетовыми
фитостерол фитостеролы
фитохимический фитохимический
флавоноид флавоноиды
флора флора
форма форма формы
фотограф фотограф
фотография фотографии
характеристика характеристика
цвет цвета
цветение цветении цветения
цветок цветки
цветущий цветущие
часть части
чашечка чашечки
черешок черешках
эллаговый эллаговая
яйцевидный яйцевидной
