альтернативный альтернативные
аппетит аппетит
астма астме
атлас атлас
бакина бакин
болезнь болезнях
бронхиальный бронхиальной
бронхит бронхитах
вдвое вдвое
верхний верхние верхняя
верхушка верхушкой
возбуждать возбуждающее
встречаемость встречаемость
встречаться встречается встречающееся
высота высота
галактопиранозить галактопиранозил
гемикриптофит гемикриптофит
глюкопиранозилпрезенин глюкопиранозилпрезенин
глюкопиранозить глюкопиранозил
голубой голубые
горький горький
горьковатый горьковатый
действие действия
длина длиной
европейский европейской
жизненный жизненная
завязь завязь
зеленоватый зеленоватые
изд изд
истод истод
истодовый истодовые
источник источник
июнь июнь
казан казан
казань казань
карта карта
качество качестве
кисть кисть
кмк кмк
кожный кожных
корень корень корни
корневище корневища
коробочка коробочка коробочки
крыло крылья
ксилопиранозить ксилопиранозил
кустарник кустарникам
легенда легенда
лист листья
литература литература
луг лугам
маевский маевский
май май
мелкий мелкие
мм мм
многолетник многолетник
морфологический морфологическая
название названия
наличие наличие
научий науч
нижний нижние
новиков новикова
обратно обратно
ограничение ограничений
орган органы
организм организм
острый острых
отхаркивающий отхаркивающего отхаркивающее
очередной очередные
плод плод плодах
подземный подземные
полоса полосы
предволжье предволжье
предыдущий предыдущее
прикорневой прикорневой
применение применение
применяться применяется
противовоспалительный противовоспалительного противовоспалительное
пыление пыления
рамнопиранозить рамнопиранозил
распространение распространения
растение растении растений растения
редко редко
рогов рогова
розетка розетке
россия россии
сапонин сапонины
сбор сбора
семейство семейство
сидячий сидячие
синий сине синие
ситниковый ситников
следующий следующее
смотреть см
содержаться содержатся
состав состав
сосудистый сосудистые
соцветие соцветие
спорадически спорадически
спороношение спороношения
срастись сросшихся
средний средней средние
средство средства
стержневой стержневой
стержнекорневой стержнекорневой
сырой сырым
татарстан татарстана
тип тип
тов тов
тонкий тонкий
травянистый травянистый
трахеит трахеитах
трубка трубку
тычинка тычинок
указываться указывался
уна ун
фиолетовый фиолетовые
фитохимический фитохимический
флора флора
форма форма формы
фотограф фотограф
фотография фотографии
фукопиранозид фукопиранозид
фурункулёз фурункулезе
характеристика характеристика
хронический хронических
цветение цветения
цветок цветки
цветущий цветущие
часть части
широкозакругленный широкозакругленной
яйцевидный яйцевидной
