альтернативный альтернативные
апрель апрель
атлас атлас
бакина бакин
весенний весенний
ветреница ветреница
встречаемость встречаемость
встречаться встречается
высота высота
геофита геофит
действие действия
длинночерешковый длинночерешковый
европейский европейской
жизненный жизненная
жёлтый желтые
золотисто золотисто
изд изд
кадир кадиров
казан казан
казань казань
карта карта
кмк кмк
компресс компрессов
корневище корневище
короткокорневищный короткокорневищный
кустарник кустарникам
легенда легенда
леса лесам
лист лист листьев листья
литература литература
лютиковый лютиковая лютиковые
маевский маевский
май май
многолетник многолетник
многоорешек многоорешек
морфологический морфологическая
название названия
наличие наличие
настойка настойка
научий науч
обладать обладает
ограничение ограничений
одиночный одиночные
орган органы
организм организм
отёк отеков
пальчатый пальчато
плод плод
поверхностно поверхностно
ползучий ползучее
полоса полосы
предыдущий предыдущее
прикорневой прикорневых
применение применение
применяться применяется
примечание примечание
противовоспалительный противовоспалительное противовоспалительными
пыление пыления
радикулит радикулите
расположить расположено
распространение распространения
рассечь рассеченный
растение растение растений растения
растирание растираний
ревматизм ревматизме
редко редко
рогов рогова
россия россии
сбор сбора
свойство свойствами
семейство семейство
ситниковый ситников
следующий следующее
смешанный смешанным
смотреть см
снятие снятия
сосудистый сосудистые
спазмолитический спазмолитическими спазмолитическое
спирт спирту
спорадически спорадически
спороношение спороношения
средний средней
татарстан татарстана
тип тип
тов тов
травянистый травянистый
уна ун
флора флора
форма форма
фотограф фотограф
характеристика характеристика
цветение цветения
цветок цветки
цветущий цветущее
часть части
широколиственный широколиственным
ядовитый ядовитое
