альтернативный альтернативные
аминокислота аминокислоты
артроз артрозах
атлас атлас
бакина бакин
боб боб
болеутоляющий болеутоляющее
боль боль болях
бронхит бронхите
верхний верхней
верхушечный верхушечных
ветвиться ветвящийся
вид виде
внутрь внутрь
воспаление воспалении
встречаемость встречаемость
встречаться встречается
вызвать вызвать
высокий высокие
высота высота
высушить высушенная
гемикриптофит гемикриптофит
гнойный гнойных
головной головную
гэотар гэотар
двулетник двулетник
действие действия
дигидрокумарин дигидрокумарин
дикумарола дикумарол
доза дозы
донник донник
дорога дорог
европейский европейской
железнодорожный железнодорожным
железо железо
живот живота
жизненный жизненная
изд изд
информация информации
июнь июнь
кадир кадиров
казан казан
казань казань
карта карта
кисть кистях
кмк кмк
компресс компрессов
корень корень
кровоизлияние кровоизлияниям
кумарин кумарин кумарина кумарины
ланцетный ланцетной
легенда легенда
лекарственный лекарственный
лист листья
литература литература
луг лугам
маевский маевский
масло масло
медиа медиа
медь медь
мелилотозид мелилотозид
мелёный мелен
место местам
морфологический морфологическая
мотыльковый мотылькового мотыльковые
мочевой мочевого
мягчительный мягчительное
надземный надземные
название названия
накапливать накапливает
наличие наличие
наружно наружно
населить населенным
настой настой
насыпь насыпям
научий науч
обезболивать обезболивающее
область области
ограничение ограничений
орган органы
организм организм
осторожность осторожность
передозировка передозировка
период период
печень печени
пластырь пластыря
плод плод
побег побега
полисахарид полисахариды
полоса полосы
поражение поражению
предыдущий предыдущее
привести привести
прилистник прилистниками
применение применение
применяться применяется
примечание примечание
принимать принимают
приём приеме
промывание промываний
прямостоячий прямостоячий
пузырь пузыря
пункт пунктам
пыление пыления
рана ранах
распространение распространения
растение растение растений растения
рвота рвоту
редко редко
рогов рогова
россия россии
рыхлый рыхлых
самылина самылина
сапонин сапонины
сбор сбора
семейство семейство
сентябрь сентябрь
ситниковый ситников
следовать следует
следующий следующее
слизь слизь
смотреть см
соблюдать соблюдать
собрать собранная
содержать содержит
сонливость сонливость
сорный сорным
состав состав
сосудистый сосудистые
спорадически спорадически
спороношение спороношения
среднее среднего
средний средней
средство средство
стебель стебель
стержневой стержневой
татарстан татарстана
тип тип типа
тов тов
трава трава
уна ун
ухо уха
фармакогнозия фармакогнозия
фитохимический фитохимический
флора флора
форма форма формы
фотограф фотограф
фурункулёз фурункулезе
характеристика характеристика
хронический хроническом
цветение цветения
цветок цветки
цветущий цветущее
часть части
эфирный эфирное
яковлев яковлев
