альтернативный альтернативные
атлас атлас
бакина бакин
белые белые
близкий ближе
веретеновидный веретеновидный
верхний верхние верхняя
верхушка верхушка
вечер вечеру
вечерница вечерница
волосок волосками
встречаемость встречаемость
встречаться встречается
высота высота
гексила гексил
гемикриптофит гемикриптофит
гесперис гесперис
гидроксиглюкобрассицин гидроксиглюкобрассицин
глюкозинальбин глюкозинальбин
глюкозинолат глюкозинолаты
голый голые
грубый грубыми
двулетник двулетник
действие действия
декоративный декоративного
дичать дичает
длинный длинных
европейский европейской
жаропонижающий жаропонижающее
желтоватый желтоватые
жизненный жизненная
завязь завязь
запах запах
зубчатый зубчатые
изд изд
изредка изредка
иметь имеют
информация информации
июль июль
июнь июнь
кадыров кадырова
казан казан
казань казань
капустный капустные
карта карта
качество качестве
кмк кмк
корень корень
короткий коротких
ланцетный ланцетные
легенда легенда
лиловый лиловые
лист листья
литература литература
маевский маевский
метельчатый метельчатое
метилсульфанить метилсульфанил
метилсульфинить метилсульфинил
многоглавый многоглавый
морфологический морфологическая
мочегонное мочегонного мочегонное
название названия
наличие наличие
научий науч
нижний нижние
ночной ночная
ночью ночью
общеукрепляющий общеукрепляющего общеукрепляющее
ограничение ограничений
орган органы
организм организм
острый острые
пентить пентил
перистый перистые
плод плод плодами
полоса полосы
потогонное потогонного потогонное
предыдущий предыдущее
применение применение
применяться применяются
приусадебный приусадебных
простой простыми
прямостоячий прямостоячий
пыление пыления
разводиться разводится
рамнопиранозилоксибензил рамнопиранозилоксибензил
распространение распространения
растение растении растений растения
редко редко
рогов рогова
россия россии
сбор сбора
семейство семейство
семя семена
сильный сильный
ситниковый ситников
следующий следующее
смотреть см
содержаться содержатся
состав состав
сосудистый сосудистые
соцветие соцветие
спорадически спорадически
спороношение спороношения
средний средней
средство средства
стебель стебель
стержневой стержневой
стручок стручок
татарстан татарстана
тип тип
тов тов
тычинка тычинок
уна ун
усиливаться усиливается
участок участках
фиалка фиалка
фитохимический фитохимический
флора флора
форма форма
фотограф фотограф
характеристика характеристика
цветение цветения
цветок цветками цветки
цельный цельные
часть части
черешок черешках
яйцевидный яйцевидные
