алкалоид алкалоиды
альтернативный альтернативные
амарогентина амарогентин
амигдалоза амигдалоза
амирин амирин
аппетит аппетит
атлас атлас
бакина бакин
бензойный бензойной
боровик боровик
булан буланов
буроватый буроватого
венчик венчик
верхний верхних верхняя
весна весной
витексин витексин
влагалище влагалище
внутри внутри
возбуждать возбуждающее
встречаемость встречаемость
встречаться встречается
высота высота
гексуронид гексуронид
гемикриптофит гемикриптофит
гентизина гентизин
гентиозид гентиозида
генцианадин генцианадин
генцианин генцианин
генцианоз генцианоза
генциобиоз генциобиоза
генциокруцин генциокруцин
генциомарин генциомарин
генциопикрин генциопикрин
генциопикрозид генциопикрозид
генциопунктин генциопунктин
генциофлавин генциофлавин
география география
гидроксифенилуксусный гидроксифенилуксусная
гликозид гликозид гликозиды
глюкоза глюкоза
глюкозид глюкозид
голубоватый голубовато
гомопротокатеховой гомопротокатеховая
горечавка горечавка
горечавковый горечавковые
густо густо
дезоксигексозид дезоксигексозида
действие действия
дигидробензоил дигидробензоил
дигидроксибензойный дигидроксибензойная
дигидроксифенилуксусный дигидроксифенилуксусная
дис дис
дубрава дубравам
европейский европейской
жизненный жизненная
жилка жилками
завязь завязь
заготавливать заготавливают
зелёный зеленый
изд изд
изогентизин изогентизин
изомангиферин изомангиферин
информация информации
иридоида иридоиды
использование использования
источник источник
июль июль
июнь июнь
казан казан
казань казань
карта карта
кислота кислот кислота кислоты
кмк кмк
колокольчатый колокольчатой
корень корни
коричный коричной
корневище корневища корневище
коробочка коробочка
короткокорневищный короткокорневищный
кофейный кофейная
крестовидный крестовидная
ксантон ксантоны
ксантоновый ксантоновый
ланцетный ланцетные
легенда легенда
лист листьев листья
литература литература
логанин логанин
логановый логановая логановой
лопасть лопастями
луг лугам
лупеола лупеол
маевский маевский
мангиферин мангиферин
многолетник многолетник
морфологический морфологическая
надземный надземные
название названия
наличие наличие
научий науч
несколько несколькими
облиственный облиственные
ограничение ограничений
одиночный одиночные
олеановый олеановая
олеанолов олеаноловой
орган органы
организм организм
ориентина ориентин
осень осенью
основание основание
остаток остатками
отогнуть отогнутыми
охрана охраны
пазуха пазухах
перспектива перспективы
пирокатехиновый пирокатехиновая
пищеварение пищеварение
плод плод
подземный подземные
поздний поздней
покрыть покрыто
полоса полосы
практический практического
предыдущий предыдущее
примеврозид примеврозид
применение применение
применяться применяются
производный производные
простой простые
пучок пучками
пыление пыления
разный разные
разредить разреженным
ранний ранней
распространение распространения
растение растение растении растений растения
редкий реже
редко редко
робуровая робуровая
рогов рогова
родиться род
россия россии
сахароза сахароза
сбор сбора
сверозид сверозид
сверциамарин сверциамарин
секоиридоид секоиридоиды
сем сем
семейство семейство
сибирь сибири
сидеть сидят
сидячий сидячие
синий синий
ситниковый ситников
следующий следующее
смотреть см
снаружи снаружи
собирать собирают
содержаться содержатся
состав состав
сосудистый сосудистые
спорадически спорадически
спороношение спороношения
срастись срослось
средний средней
средство средство
старый старых
стебель стеблей стебли
супротивный супротивные
сухой сухим
сушить сушат
таксономия таксономия
татарстан татарстана
тип тип
тов тов
толстый толстое
томск томск
трава трава траву
травянистый травянистый
тритерпеноид тритерпеноиды
тычинка тычинок
углевод углеводы
удлинённый удлиненные
укоротить укороченное
улучшать улучшающее
уна ун
фенилуксусный фенилуксусной
фенольный фенольные
фитохимический фитохимический
флавоноид флавоноиды
флор флоре
флора флора
форма форма формы
фотограф фотограф
фотография фотографии
фруктоза фруктоза
характеристика характеристика
хиратенол хиратенол
хлорогеновый хлорогеновая
цвет цвета
цветение цветения
цветок цветки
цветущий цветущее
часть части
южный южной
яйцевидный яйцевидно
